Product ID,Product Name,Price ($)
1,Apple iPhone 15 Pro Max,1199
2,Samsung Galaxy S24 Ultra,1299
3,Google Pixel 8 Pro,999
4,Sony WH-1000XM5 Headphones,399
5,Bose QuietComfort Ultra,429
6,"Apple MacBook Pro 14"" (M3)",1999
7,Dell XPS 15 Laptop,1899
8,HP Spectre x360 2-in-1,1599
9,Samsung 65” OLED Smart TV,2299
10,LG C3 55” OLED 4K TV,1699
11,Sony PlayStation 5,499
12,Microsoft Xbox Series X,499
13,Nintendo Switch OLED,349
14,"Apple iPad Pro 12.9"" (M3)",1299
15,Samsung Galaxy Tab S9 Ultra,1199
16,Kindle Paperwhite (11th Gen),159
17,GoPro Hero 12 Black,399
18,DJI Mini 4 Pro Drone,999
19,Apple Watch Ultra 2,799
20,Samsung Galaxy Watch 6,349
21,Logitech MX Master 3S Mouse,99
22,Razer BlackWidow V4 Keyboard,179
23,Sony A7 IV Mirrorless Camera,2499
24,Canon EOS R6 Mark II,2499
25,Apple AirPods Pro (2nd Gen),249
26,Anker Soundcore Liberty 4,149
27,Western Digital 2TB SSD,219
28,Samsung 980 Pro 1TB SSD,119
29,TP-Link AX11000 WiFi Router,349
30,Eufy Security Cam 2K,129
